#context,
#duration,s,29.6676
count,time
0,1653057033336205979
1,1653057033857771332
2,1653057034357907368
3,1653057034808233887
4,1653057035308366392
5,1653057035770618600
6,1653057036270751822
7,1653057036750762376
8,1653057037250895057
9,1653057037757085948
10,1653057038257217926
11,1653057038749641531
12,1653057039249772558
13,1653057039700750431
14,1653057040200884616
15,1653057040659797736
16,1653057041159930929
17,1653057041623812883
18,1653057042123944775
19,1653057042605723656
20,1653057043105855766
21,1653057043601695743
22,1653057044101828047
23,1653057044604147630
24,1653057045104280398
25,1653057045558123514
26,1653057046058253479
27,1653057046526041344
28,1653057047026173755
29,1653057047485666969
30,1653057047985799405
31,1653057048439515436
32,1653057048939652291
33,1653057049400398792
34,1653057049900531575
35,1653057050362456301
36,1653057050862588546
37,1653057051360222237
38,1653057051860354788
39,1653057052331976602
40,1653057052832108565
41,1653057053300980369
42,1653057053801116397
43,1653057054285267641
44,1653057054785399203
45,1653057055289432331
46,1653057055789544560
47,1653057056284379119
48,1653057056784513301
49,1653057057268606668
50,1653057057768741136
51,1653057058223689345
52,1653057058723820055
53,1653057059176738407
54,1653057059676784324
55,1653057060142749241
56,1653057060642879456
57,1653057061096666346
58,1653057061596797321
59,1653057062051358868
60,1653057062551491442
61,1653057063003653646
62,1653057063003776555
